user_goal_id,user_goal,user_goal_url,expression,visits
7,cancer,https://www.nhs.uk/conditions/cancer/,cancer,44891
7,cancer,https://www.nhs.uk/conditions/cancer/,cancer uk,19670
8,pregnancy,https://www.nhs.uk/conditions/pregnancy-and-baby/,pregnancy,57503
8,pregnancy,https://www.nhs.uk/conditions/pregnancy-and-baby/,pregnant,22172
8,pregnancy,https://www.nhs.uk/conditions/pregnancy-and-baby/,maternity,6922
8,pregnancy,https://www.nhs.uk/conditions/pregnancy-and-baby/,obstetrics,3823
8,pregnancy,https://www.nhs.uk/conditions/pregnancy-and-baby/,pregnancy uk,1903
8,pregnancy,https://www.nhs.uk/conditions/pregnancy-and-baby/,maternity uk,1584
9,anxiety,,anxiety,206097
9,anxiety,,anxiety uk,4904
11,sleep,https://www.nhs.uk/oneyou/sleep,sleep,10966
14,depression,https://www.nhs.uk/conditions/stress-anxiety-depression/low-mood-and-depression/,depression,274284
14,depression,https://www.nhs.uk/conditions/stress-anxiety-depression/low-mood-and-depression/,depression uk,5312
14,depression,https://www.nhs.uk/conditions/stress-anxiety-depression/low-mood-and-depression/,depressive disorder,2497
14,depression,https://www.nhs.uk/conditions/stress-anxiety-depression/low-mood-and-depression/,depresion,2224
17,back pain,https://www.nhs.uk/conditions/back-pain/,back pain,105093
17,back pain,https://www.nhs.uk/conditions/back-pain/,back ache,13802
17,back pain,https://www.nhs.uk/conditions/back-pain/,spine pain,6948
17,back pain,https://www.nhs.uk/conditions/back-pain/,back problems,6470
17,back pain,https://www.nhs.uk/conditions/back-pain/,bad back,5956
17,back pain,https://www.nhs.uk/conditions/back-pain/,backache,5684
17,back pain,https://www.nhs.uk/conditions/back-pain/,sore back,4925
17,back pain,https://www.nhs.uk/conditions/back-pain/,pain in back,2874
17,back pain,https://www.nhs.uk/conditions/back-pain/,backpain,2372
17,back pain,https://www.nhs.uk/conditions/back-pain/,pain in spine,1536
17,back pain,https://www.nhs.uk/conditions/back-pain/,spinal pain,1224
17,back pain,https://www.nhs.uk/conditions/back-pain/,back pains,1189
17,back pain,https://www.nhs.uk/conditions/back-pain/,back hurts,1035
19,headache,https://www.nhs.uk/conditions/headaches/,headache,35407
19,headache,https://www.nhs.uk/conditions/headaches/,headaches,19370
19,headache,https://www.nhs.uk/conditions/headaches/,pain in head,6757
19,headache,https://www.nhs.uk/conditions/headaches/,head pain,4056
19,headache,https://www.nhs.uk/conditions/headaches/,pains in head,1522
19,headache,https://www.nhs.uk/conditions/headaches/,sore head,1380
19,headache,https://www.nhs.uk/conditions/headaches/,head pains,1053
20,dementia,https://www.nhs.uk/conditions/dementia/,dementia,294474
20,dementia,https://www.nhs.uk/conditions/dementia/,dementia uk,90738
20,dementia,https://www.nhs.uk/conditions/dementia/,dementiauk,1385
20,dementia,https://www.nhs.uk/conditions/dementia/,dementure,933
20,dementia,https://www.nhs.uk/conditions/dementia/,dementia in uk,444
20,dementia,https://www.nhs.uk/conditions/dementia/,demential uk,256
26,stomach pain,https://www.nhs.uk/conditions/stomach-ache/,stomach pain,107108
26,stomach pain,https://www.nhs.uk/conditions/stomach-ache/,abdominal pain,52349
26,stomach pain,https://www.nhs.uk/conditions/stomach-ache/,stomach ache,14816
26,stomach pain,https://www.nhs.uk/conditions/stomach-ache/,stomach pains,8178
26,stomach pain,https://www.nhs.uk/conditions/stomach-ache/,pain in stomach,7462
26,stomach pain,https://www.nhs.uk/conditions/stomach-ache/,pain in abdomen,3565
26,stomach pain,https://www.nhs.uk/conditions/stomach-ache/,tummy ache,3449
26,stomach pain,https://www.nhs.uk/conditions/stomach-ache/,tummy pain,3430
26,stomach pain,https://www.nhs.uk/conditions/stomach-ache/,abdomen pain,3249
26,stomach pain,https://www.nhs.uk/conditions/stomach-ache/,stomach discomfort,2927
26,stomach pain,https://www.nhs.uk/conditions/stomach-ache/,sore stomach,2718
26,stomach pain,https://www.nhs.uk/conditions/stomach-ache/,pains in stomach,2504
26,stomach pain,https://www.nhs.uk/conditions/stomach-ache/,sore tummy,1986
26,stomach pain,https://www.nhs.uk/conditions/stomach-ache/,my stomach hurts,1775
26,stomach pain,https://www.nhs.uk/conditions/stomach-ache/,abdominal discomfort,1334
27,chest pain,https://www.nhs.uk/conditions/chest-pain/,chest pain,79210
27,chest pain,https://www.nhs.uk/conditions/chest-pain/,chest pains,17337
27,chest pain,https://www.nhs.uk/conditions/chest-pain/,pain in chest,12296
27,chest pain,https://www.nhs.uk/conditions/chest-pain/,heart pain,11083
27,chest pain,https://www.nhs.uk/conditions/chest-pain/,pains in chest,3320
27,chest pain,https://www.nhs.uk/conditions/chest-pain/,pain in heart,2936
27,chest pain,https://www.nhs.uk/conditions/chest-pain/,pain across chest,1444
27,chest pain,https://www.nhs.uk/conditions/chest-pain/,pains in the chest,1414
27,chest pain,https://www.nhs.uk/conditions/chest-pain/,heart pains,1180
27,chest pain,https://www.nhs.uk/conditions/chest-pain/,pain in the chest,1053
28,sore throat,https://www.nhs.uk/conditions/sore-throat/,sore throat,101346
28,sore throat,https://www.nhs.uk/conditions/sore-throat/,throat pain,6883
28,sore throat,https://www.nhs.uk/conditions/sore-throat/,pain in throat,3441
28,sore throat,https://www.nhs.uk/conditions/sore-throat/,painful throat,1637
28,sore throat,https://www.nhs.uk/conditions/sore-throat/,throat ache,1434
28,sore throat,https://www.nhs.uk/conditions/sore-throat/,painful sore throat,1267
28,sore throat,https://www.nhs.uk/conditions/sore-throat/,sore throats,1158
29,alzheimer's,https://www.nhs.uk/conditions/alzheimers-disease/,alzheimer's,114826
29,alzheimer's,https://www.nhs.uk/conditions/alzheimers-disease/,alzheimer's disease,44562
29,alzheimer's,https://www.nhs.uk/conditions/alzheimers-disease/,alzheimer,33135
29,alzheimer's,https://www.nhs.uk/conditions/alzheimers-disease/,alzheimers,30374
29,alzheimer's,https://www.nhs.uk/conditions/alzheimers-disease/,alzheimer's uk,13809
29,alzheimer's,https://www.nhs.uk/conditions/alzheimers-disease/,alzheimers uk,13020
29,alzheimer's,https://www.nhs.uk/conditions/alzheimers-disease/,alzheimer's dementia,4548
29,alzheimer's,https://www.nhs.uk/conditions/alzheimers-disease/,alzheimer's and dementia,4372
29,alzheimer's,https://www.nhs.uk/conditions/alzheimers-disease/,alzheimer disease,3674
29,alzheimer's,https://www.nhs.uk/conditions/alzheimers-disease/,dementia alzheimer's,2428
29,alzheimer's,https://www.nhs.uk/conditions/alzheimers-disease/,alzheimers disease,2426
29,alzheimer's,https://www.nhs.uk/conditions/alzheimers-disease/,dementia and alzheimer's,2425
29,alzheimer's,https://www.nhs.uk/conditions/alzheimers-disease/,dementia alzheimer,1963
29,alzheimer's,https://www.nhs.uk/conditions/alzheimers-disease/,alzheimer uk,1430
29,alzheimer's,https://www.nhs.uk/conditions/alzheimers-disease/,alzheimerâ€™s disease,1023
30,knee pain,https://www.nhs.uk/conditions/knee-pain/,knee pain,191615
30,knee pain,https://www.nhs.uk/conditions/knee-pain/,painful knees,13853
30,knee pain,https://www.nhs.uk/conditions/knee-pain/,pain in knee,9453
30,knee pain,https://www.nhs.uk/conditions/knee-pain/,sore knees,6916
30,knee pain,https://www.nhs.uk/conditions/knee-pain/,knee joint pain,6226
30,knee pain,https://www.nhs.uk/conditions/knee-pain/,aching knees,5476
30,knee pain,https://www.nhs.uk/conditions/knee-pain/,painful knee,4322
30,knee pain,https://www.nhs.uk/conditions/knee-pain/,sore knee,2925
30,knee pain,https://www.nhs.uk/conditions/knee-pain/,pain in the knee,2568
30,knee pain,https://www.nhs.uk/conditions/knee-pain/,knees hurt,2316
30,knee pain,https://www.nhs.uk/conditions/knee-pain/,painful knee joint,1947
30,knee pain,https://www.nhs.uk/conditions/knee-pain/,pain in knees,1878
30,knee pain,https://www.nhs.uk/conditions/knee-pain/,knee ache,1626
30,knee pain,https://www.nhs.uk/conditions/knee-pain/,knee joints pain,1213
30,knee pain,https://www.nhs.uk/conditions/knee-pain/,joint knee pain,1114
30,knee pain,https://www.nhs.uk/conditions/knee-pain/,pain in knee joint,1052
30,knee pain,https://www.nhs.uk/conditions/knee-pain/,aching knee,1031
31,shoulder pain,https://www.nhs.uk/conditions/shoulder-pain/,shoulder pain,102661
31,shoulder pain,https://www.nhs.uk/conditions/shoulder-pain/,pain in shoulder,8535
31,shoulder pain,https://www.nhs.uk/conditions/shoulder-pain/,painful shoulder,3985
31,shoulder pain,https://www.nhs.uk/conditions/shoulder-pain/,sore shoulder,2947
31,shoulder pain,https://www.nhs.uk/conditions/shoulder-pain/,aching shoulder,1779
31,shoulder pain,https://www.nhs.uk/conditions/shoulder-pain/,shoulder ache,1566
31,shoulder pain,https://www.nhs.uk/conditions/shoulder-pain/,aching shoulders,1158
31,shoulder pain,https://www.nhs.uk/conditions/shoulder-pain/,pain in my shoulder,1092
31,shoulder pain,https://www.nhs.uk/conditions/shoulder-pain/,pain in shoulders,1008
32,leg pain,,leg pain,45179
32,leg pain,,pains in legs,12820
32,leg pain,,pain in legs,9820
32,leg pain,,pain in leg,8793
32,leg pain,,painful legs,8407
32,leg pain,,leg aches,4877
32,leg pain,,leg ache,3200
32,leg pain,,leg pains,2725
32,leg pain,,sore legs,2440
32,leg pain,,my legs ache,1782
32,leg pain,,legs ache,1781
32,leg pain,,aches in legs,1636
32,leg pain,,pain in the legs,1543
32,leg pain,,pain in the leg,1224
32,leg pain,,ache in leg,1158
32,leg pain,,painful leg,1027
34,neck pain,https://www.nhs.uk/conditions/neck-pain-and-stiff-neck/,neck pain,87512
34,neck pain,https://www.nhs.uk/conditions/neck-pain-and-stiff-neck/,pain in neck,7365
34,neck pain,https://www.nhs.uk/conditions/neck-pain-and-stiff-neck/,sore neck,6908
34,neck pain,https://www.nhs.uk/conditions/neck-pain-and-stiff-neck/,neck ache,4263
34,neck pain,https://www.nhs.uk/conditions/neck-pain-and-stiff-neck/,pain in the neck,2959
34,neck pain,https://www.nhs.uk/conditions/neck-pain-and-stiff-neck/,painful neck,2895
35,stages of alzheimers,,stages of alzheimers,6675
35,stages of alzheimers,,alzheimers stages,3759
35,stages of alzheimers,,alzheimer's stages,3651
35,stages of alzheimers,,stages of alzheimer's,3384
35,stages of alzheimers,,alzheimer's disease stages,2503
35,stages of alzheimers,,stages of alzheimer's disease,1434
37,vascular dementia,,vascular dementia,207220
37,vascular dementia,,vascular dementia uk,844
37,vascular dementia,,dementia vascular,602
37,vascular dementia,,vascular dementis,234
37,vascular dementia,,vascular-dementia,135
38,hip pain,,hip pain,100007
38,hip pain,,pain in hip,5767
38,hip pain,,painful hip,2995
38,hip pain,,sore hips,2773
38,hip pain,,aching hips,2248
38,hip pain,,painful hips,2042
38,hip pain,,sore hip,1934
38,hip pain,,hip ache,1884
38,hip pain,,pain in hips,1848
39,foot pain,https://www.nhs.uk/conditions/foot-pain/,foot pain,56338
39,foot pain,https://www.nhs.uk/conditions/foot-pain/,pain in foot,11926
39,foot pain,https://www.nhs.uk/conditions/foot-pain/,painful feet,10616
39,foot pain,https://www.nhs.uk/conditions/foot-pain/,aching feet,7238
